id,message,dirs,pull_req_id,pull_req_title,pull_req_body,opinion,ecosystem,repo
f18331062f532c30e596cdbbf0def28cd0ca8008,"Merge pull request #83 from JoseRolles/master

Remove post-deployment step to copy web content.",web .,77.0,Regionalization enhancements,"*Issue #, if available:*
13, 64

*Description of changes:*
- Adds support for deployment in other regions
- adds option to create cross account role for accessing dynamo tables
- removes lambda edge
- removes the need to update the /web/scripts.js file after launch

By submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.
",adaptive,aws-samples,aws-marketplace-serverless-saas-integration
b3bed4a4d68598296fa4c04098c30bce16ab4a96,"Update template.yaml

Fixed delete issue where code was not converted to using AWS SDK for JavaScript v3.",.,76.0,Documentation updates,"*Issue #, if available:*

*Description of changes:*
Updated documentation to include the new diagram and switch to SAM guided deployment experience.
",corrective,aws-samples,aws-marketplace-serverless-saas-integration
3a8bc3e4b4780e9bcca8dd9fff94badf523d4264,"Update template.yaml

Updated MIME type",.,75.0,Deployment improvements,"*Issue #, if available:*

*Description of changes:*
* eliminated the need to update the script.js file
* eliminated the need to update the redirect.js lambda environment variable
* added s3 web bucket to outputs
* fixed issues with defaults values for boolean parameters
* remove the redirect url output since it is no longer needed




By submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.
",preventive,aws-samples,aws-marketplace-serverless-saas-integration
bea440264ea755ee82fad5fbefe50047c72ff9bc,"Update buildspec.yaml

Removed lines that puts web directory from project.",.,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
eee3923ce21b420cb50aac01fbd32c1a398f9723,"Update template.yaml

Added custom function and web content to automatically add the web files to the created S3 bucket.",.,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
10e2606e7bac08606ff3ea48d6f80ed138329b05,"Delete web directory

Deleting web directory. Files to be embedded in template.",web,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
9332614ce00966e802a2222cc10e00f46a6bbc75,"Update README.md

Removed reference to copy web content.",.,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
991a50bdd99f481aebf728e0c567790195ddd872,"Merge pull request #82 from aws-samples/removing-stackname-dependencies

removed stack name dependency and replaced with unique ID segment fro…",.,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
7759a6a9776660b5073951762f37d33ac5ad7068,fixed .fifo suffix issue with sqs queue creation,.,,,,corrective,aws-samples,aws-marketplace-serverless-saas-integration
f7cc9e8c919fda93cafd29f900dbae94e64e0fe5,removed additional stackname dependencies,.,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
b76fb7c3ef021558dbeb9a3b790aa114deb378df,removed stack name dependency and replaced with unique ID segment from stack arn instead,.,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
48b99bd1bef80caf3e5d16fe32555b4610b849af,"Merge pull request #60 from charleswhchan/issue-57

Fix #57 - Handle case when subscription was deleted and ExpirationDate is unavailable in Entitlement object",src,,,,corrective,aws-samples,aws-marketplace-serverless-saas-integration
19d8bed3e0f7556828f6e2bd03a75c5669d1b39c,"Merge pull request #79 from cloudbennett/master

Minor cleanup to web/script.js, web/index.html and comments to src/re…",src web,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
d38ed023f1ac0b0c9d425973232c534b6eb65235,"Minor cleanup to web/script.js, web/index.html and comments to src/register-new-subscriber.js",src web,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
a9ae45aa93e52cc88737570fb82221c68ba99e07,"Merge pull request #77 from aws-samples/regionalization-enhancements

Regionalization enhancements",web . src/lambda-edge src misc,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
1d67a159a79ea253af44d60cd5f3d13b908a156f,"Update redirect.js

Removed reference to the unused env variable",src,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
64e2092b3a37e484c07ed68d93f19f18a19ae7ac,changed post build steps to reference the correct cloudformation output index,.,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
4795cad31abba0b5c877e36199c145b05dd8c2f5,added Capabilities named iam,.,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
32e465a27b518a8bb04df4262ba4500fa34b987a,removed sam package command and modified sam deploy to remove --template-file,.,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
797054c35d14b80a72a3a7659bd29bb5ad5eb6cb,updated buildspec,.,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
72336d85e862fa7f3d9b0d83803bac383b53ea71,Update README.md with new diagram reference,.,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
c62330efe4d9479737f6bc4f02dfeba786baf431,adding updated diagram,misc,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
472cfde3d3d19e340e848b1ec4255a3b9a61c712,"Merge pull request #76 from lenopip/documentation-updates

Documentation updates",misc .,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
0f1e65e3a79d299ff8208234acb569bb25708dfc,fixed cd command,.,,,,corrective,aws-samples,aws-marketplace-serverless-saas-integration
d8d1ae2adc20519dd36391effb14c18caa6acba3,fixed numbering,.,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
9ad36d75a140913cb5f23d6543a3531417649446,fixed numbering,.,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
45bce421453542e9eef6e57af8dd6d03cbf55883,fixed numbering,.,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
082887b78b8e63d3b5f396c9098df1aef536b60a,updated README instructions and diagram,misc .,,,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
36049a6716ad85b2d471734eec4a9fb433c6eb5e,creating document update branch and adding initial changes,.,,,,perfective,aws-samples,aws-marketplace-serverless-saas-integration
cf5fe843c8debeaec7051a275e3f49188076ae4d,"Merge pull request #75 from lenopip/deployment-improvements

Deployment improvements",src web .,,,,adaptive,aws-samples,aws-marketplace-serverless-saas-integration
14931eec3bc45758c59e7503762912fb779a1ecb,update .devcontainer file (#68),docs/assets code/quarkus-telemetry . .devcontainer,68.0,update .devcontainer file,"#67

update .devcontainer.json and add docs",adaptive,Azure-Samples,java-native-telemetry
f6cd41700c9da44a74abfd1703369673740024bd,Update VeggieController.java (#70),code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,70.0,Type mismatch in VeggieController.java,"There is a type mismatch in VeggieController.java.
The field ""id"" is defined with String in Veggie.java, while a parameter in methods ""deleteVeggie"" and ""getVeggieById"" is defined with Long. If this mismatch is not fixed, both methods always return 400 (Bad request).",perfective,Azure-Samples,java-native-telemetry
7521a568bc7a62717c43b2540aeefa6b2fab5667,Bump quarkus-opentelemetry-exporter-azure (#69),code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-superhero,69.0,Bump quarkus-opentelemetry-exporter-azure,Fix this issue: https://github.com/Azure/azure-sdk-for-java/issues/41040,adaptive,Azure-Samples,java-native-telemetry
37c58f2314e2236557944f71e44f172b170f9f3f,Remove workaround for Spring native (#62),code/spring-boot-telemetry/src/main/resources/META-INF/native-image code/spring-boot-telemetry/src/main/resources/native-image,62.0,Remove workaround for Spring native, Bug fixed with https://github.com/Azure-Samples/java-native-telemetry/pull/61 (see https://github.com/Azure/azure-sdk-for-java/pull/40151).,perfective,Azure-Samples,java-native-telemetry
d9fcd99520f9af723ac59e40c13bcf8d0cb7a208,Bump Spring telemetry dependency (#61),code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry,61.0,Bump Spring telemetry dependency,,adaptive,Azure-Samples,java-native-telemetry
9b8e68afbdc409b7711b4c6afdae787841f49dbe,bump to quarkus 3.11.2 (#59),code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/java/com/azure/examples/quarkus/client,59.0,Bump to Quarkus 3.11.2,,adaptive,Azure-Samples,java-native-telemetry
b12e2b0787acf9ca66d1596955313b08937598a8,Add missing dependencies (#56),code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/resources,56.0,Add missing dependencies,,adaptive,Azure-Samples,java-native-telemetry
c6a5bdfc75c864b4e0754e8a4df984ddc56d0c9b,"New main with all the monitoring on (#52)

* added otel

* add application insights connection

* Create an auto-deploy file

* change order

* clean dockerfile

* JAR signature verification for ahead-of-time (AOT)

* update container app name

* update paths

* update action

* update java version

* add buildarg

* update graalvm options

* add graalvm native

* change to ce22 instead of muslib

* wrap args

* jvmarg

* update folder structure

* remove optional arg

* update path

* update path

* Adding 'Init-at-build-time' args and removing musl

* Back to using MUSL

* Update Dockerfile to use 21

* Update Dockerfile

* update gh action for main branch

* add spring app name

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* Create an auto-deploy file

* set trigger path fot whole quarkus superheros app

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

use absolute path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

reset to relative path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

debug echos for gh action

* add env variables

* typo

* add path

* Copy multistage dockerfile from src/main/docker

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

change database url back to pure postkresql

* remove custom sys vars from dockerfile

* cleanups

* DB config tweak

* add application insights connection string

* typo

* add quarkus call

* merge main

* Endpoint with exception

* Update aca-spring-native-AutoDeployTrigger-78625412-9760-4d65-82c5-5b228fd9ff1b.yml

* Unlink the containerApp aca-spring-native from this repo

* remove IT test

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* remove action to reset it

* remove action from branch

* Create an auto-deploy file

* add env variables

* add missing dependency

* readd needed buildArg to pom.xml

* skip tests

* Update application.properties

* recreate table at service deployment

* add misssing superhero service url

* enable root for spring service

* Update application.properties

Revert to update

* use Strings for ID

* create db

* update orm in quarkus

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

update database url

* Update Spring app

* hibernate generation mode

* Rename Quarkus app

(cherry picked from commit bc49d3cfa80902dbef548b450311632883d754ff)

* update tests

* Hello  DevoxxFR

* Rename branches to main on github actions

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* address PR review

---------

Co-authored-by: SandraAhlgrimm <sakriema@microsoft.com>
Co-authored-by: Sandra Ahlgrimm <sandra.kriemann@gmail.com>
Co-authored-by: Dominique Broeglin <dominique.broeglin@gmail.com>
Co-authored-by: Jean Bisutti <jean.bisutti@gmail.com>",code/spring-boot-telemetry/src/main/resources code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources code/spring-boot-telemetry code/quarkus-telemetry/quarkus-telemetry-superhero code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller .github/workflows code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker code/spring-boot-telemetry/src/main/resources/META-INF/native-image,52.0,New main with all the monitoring on,,perfective,Azure-Samples,java-native-telemetry
3f85c35e1f604ba68a8fcd6da0e4ebd43a8f00d7,"Merge pull request #49 from brunobat/main

Remove it test from main",code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message,49.0,Remove it test from main,,perfective,Azure-Samples,java-native-telemetry
ba426a4fb5092bb27a7ccd1b378cc0e4b24bdbba,Reuse create-drop for Hibernate DDL (#47),code/spring-boot-telemetry/src/main/resources code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,47.0,Reuse create-drop for Hibernate DDL,,perfective,Azure-Samples,java-native-telemetry
3c20a84038290ca0ee4a5cdac893077957ff0478,Remove it test from main,code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message,45.0,Rename Quarkus app,,perfective,Azure-Samples,java-native-telemetry
874e5550b3e162097c9d760ce4ee7be61d551125,"Merge pull request #45 from Azure-Samples/rename-quarkus-app

Rename Quarkus app",code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,48.0,Workaround for Spring native monitoring bug,Bur reported: https://github.com/Azure/azure-sdk-for-java/issues/39699,preventive,Azure-Samples,java-native-telemetry
869d5209afcdcc9b7be3fe222d47dbe43f3eb7fa,Workaround for Spring native monitoring bug (#48),code/spring-boot-telemetry/src/main/resources/native-image,44.0,Use system-uuid for id generation in Spring Boot,,corrective,Azure-Samples,java-native-telemetry
bc49d3cfa80902dbef548b450311632883d754ff,Rename Quarkus app,code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,42.0,Endpoint with exception to main,,preventive,Azure-Samples,java-native-telemetry
4d2c15a9187f0302b48792c687b47f0569617c93,update hibernate,code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,39.0,Use Hibernate for Spring Boot,,adaptive,Azure-Samples,java-native-telemetry
24f06e91afd58210abd00e5ed2660e4eb4107410,change hibernate dll to update in spring app,code/spring-boot-telemetry/src/main/resources,41.0,Use Spring bean for rest template,,adaptive,Azure-Samples,java-native-telemetry
917f9be9458c87c0cab80aef5134a814cd471758,change all IDs to String in Spring app like in Quarkus,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service,40.0,Ability to call Heroes from Spring Veggie,,perfective,Azure-Samples,java-native-telemetry
2c78f88becdaa389469c6e7f1a0113f345b99e51,small bugfix,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/repository,,,,corrective,Azure-Samples,java-native-telemetry
7d87bf9aa536361ba45349c34161eab4a312c6e5,"Merge pull request #44 from Azure-Samples/systemsystem-uui-spring-boot

Use system-uuid for id generation in Spring Boot",code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/data,,,,perfective,Azure-Samples,java-native-telemetry
8e2233b5a8c018348481ede63018a0e44c5a425d,Use system-uuid for id generation in Spring Boot,code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/data,,,,perfective,Azure-Samples,java-native-telemetry
1257b46a1e2a9a61b8c7d8aa2a474cb4186eb2f3,"Merge pull request #42 from brunobat/add-exception-endpoint

Endpoint with exception to main",code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/resource code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/data code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/docker,,,,additive,Azure-Samples,java-native-telemetry
2005da9ba8be9f8c6ac89527aac33373aa5eddae,remove jdbc,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service,,,,adaptive,Azure-Samples,java-native-telemetry
0e77d1adb72c125e377fc628ad35641a3e97b5b0,Endpoint with exception,code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/resource code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/data code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/docker,,,,additive,Azure-Samples,java-native-telemetry
695ca472dfae17f1c32f8fbcd1f004e1b296ac61,"Merge pull request #39 from Azure-Samples/use-hibernate-for-spring-boot

Use Hibernate for Spring Boot",code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/repository code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/test/resources,,,,perfective,Azure-Samples,java-native-telemetry
07cda42d7be2f5615158fadf657615cd74b9f4a2,Merge branch 'main' into use-hibernate-for-spring-boot,code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/test/resources,,,,perfective,Azure-Samples,java-native-telemetry
b221eb45ae5a44d2c65dee5d198aa10af4a78786,"Merge pull request #41 from Azure-Samples/spring-bean-resttemplate

Use Spring bean for rest template",code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,,,,perfective,Azure-Samples,java-native-telemetry
f4f5a87e86b7ece9fcd5723d5bb30f659a9be04e,Use Spring bean for rest template,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,,,,perfective,Azure-Samples,java-native-telemetry
39e29312285909df267d9b7a6ee95b035e2046be,Downgrade hibernate,code/spring-boot-telemetry,,,,adaptive,Azure-Samples,java-native-telemetry
4a8a7f64b6fe80662def8cf2e980e18f1b044262,"Merge pull request #40 from Azure-Samples/ability-to-call-quarkus-from-spring

Ability to call Heroes from Spring Veggie",code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/test/resources,,,,perfective,Azure-Samples,java-native-telemetry
58c087f65c7337846c318c7ea4ba4d7e65034f4c,"Update application.properties

simplify",code/spring-boot-telemetry/src/main/resources,,,,preventive,Azure-Samples,java-native-telemetry
e3d951786a0b662a2a7a47d197a35f004cfff457,Change property name,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/test/resources,,,,preventive,Azure-Samples,java-native-telemetry
ae9ba45a0668ffd5d9c28154d249c3a42187e44a,Change property name,code/spring-boot-telemetry/src/test/resources,,,,preventive,Azure-Samples,java-native-telemetry
